"","year","cause","lat","lng","nb","type","fr","en","color"
"1",1999,"Noyade",40.15,18.55,1,1,"Noyade","drowning","#58ABD3"
"2",1999,"Noyade",40.2,18.55,14,1,"Noyade","drowning","#58ABD3"
"3",1999,"Noyade",40.2,18.55,1,1,"Noyade","drowning","#58ABD3"
"4",1999,"Noyade",40.2,18.55,1,1,"Noyade","drowning","#58ABD3"
"5",1999,"Noyade",40.2,18.55,4,1,"Noyade","drowning","#58ABD3"
"6",1999,"Noyade",40.2,18.55,39,1,"Noyade","drowning","#58ABD3"
"7",1999,"Noyade",40.2,18.55,39,1,"Noyade","drowning","#58ABD3"
"8",1999,"Empoisonnement, champ de mise, accident, autre",38.01,12.31,3,6,"Empoisonnement, Champ de mine, accident, autre","Poisoning, Minefield, accident, other","#637A84"
"9",1999,"Noyade",36.4,14.55,1,1,"Noyade","drowning","#58ABD3"
"10",1999,"Incendie criminel, homicide, absence de soins",41.53,12.28,1,5,"Homicide, torture, absence de soin, violences policières","Arson, homicide, torture, lack of care, police brutality","#F49919"
"11",1999,"Mort de faim, de soif ou de froid",41.38,26.34,1,4,"Mort de faim, de soif, de froid ou d'épuisement","Exhaustion, starving, thirst or freezing to death","#1C7532"
"12",1999,"Mort de faim, de soif ou de froid",41.38,26.34,1,4,"Mort de faim, de soif, de froid ou d'épuisement","Exhaustion, starving, thirst or freezing to death","#1C7532"
"13",1999,"Mort de faim, de soif ou de froid",41.38,26.34,1,4,"Mort de faim, de soif, de froid ou d'épuisement","Exhaustion, starving, thirst or freezing to death","#1C7532"
"14",1999,"Incendie criminel, homicide, absence de soins",52.15,10.31,1,5,"Homicide, torture, absence de soin, violences policières","Arson, homicide, torture, lack of care, police brutality","#F49919"
"15",1999,"Noyade",51.32,14.43,1,1,"Noyade","drowning","#58ABD3"
"16",1999,"Suicide",49.37,6.07,1,2,"Suicide","Suicide","#F8E91F"
"17",1999,"Noyade",28,-16,17,1,"Noyade","drowning","#58ABD3"
"18",1999,"Noyade",36.32,-4.37,1,1,"Noyade","drowning","#58ABD3"
"19",1999,"Noyade",28.04,-13.12,5,1,"Noyade","drowning","#58ABD3"
"20",1999,"Noyade",28.04,-13.12,10,1,"Noyade","drowning","#58ABD3"
"21",1999,"Incendie criminel, homicide, absence de soins",38.01,12.31,2,5,"Homicide, torture, absence de soin, violences policières","Arson, homicide, torture, lack of care, police brutality","#F49919"
"22",1999,"Suicide",41.53,12.28,1,2,"Suicide","Suicide","#F8E91F"
"23",1999,"Suicide",50.06,8.41,1,2,"Suicide","Suicide","#F8E91F"
"24",1999,"Empoisonnement, champ de mise, accident, autre",51.33,8.33,1,6,"Empoisonnement, Champ de mine, accident, autre","Poisoning, Minefield, accident, other","#637A84"
"25",1999,"Empoisonnement, champ de mise, accident, autre",51.33,8.33,1,6,"Empoisonnement, Champ de mine, accident, autre","Poisoning, Minefield, accident, other","#637A84"
"26",1999,"Empoisonnement, champ de mise, accident, autre",51.33,8.33,1,6,"Empoisonnement, Champ de mine, accident, autre","Poisoning, Minefield, accident, other","#637A84"
"27",1999,"Empoisonnement, champ de mise, accident, autre",51.33,8.33,1,6,"Empoisonnement, Champ de mine, accident, autre","Poisoning, Minefield, accident, other","#637A84"
"28",1999,"Incendie criminel, homicide, absence de soins",43.5,18.22,1,5,"Homicide, torture, absence de soin, violences policières","Arson, homicide, torture, lack of care, police brutality","#F49919"
"29",1999,"Noyade",38.25,27,2,1,"Noyade","drowning","#58ABD3"
"30",1999,"Noyade",40.37,17.56,2,1,"Noyade","drowning","#58ABD3"
"31",1999,"Noyade",40.37,17.56,2,1,"Noyade","drowning","#58ABD3"
"32",1999,"Noyade",40.37,17.56,11,1,"Noyade","drowning","#58ABD3"
